Utc,Bsp,Awa,Aws,Twa,Tws,Twd
42204.352683,0,122,4.1,116.7,3.73,119.4
42204.352695,0,104,3.2,95.3,3.01,98.1
42204.352707,0,107,3.1,98.9,2.89,101.6
42204.352718,,109,3.1,101.2,2.88,104
42204.35273,0,109,3.1,101.2,2.88,104
42204.352742,0,109,3.1,101.2,2.88,104
42204.352753,0,109,3.1,101.2,2.88,104
42204.352765,0,,,101.2,2.88,104
42204.352777,0,,,101.2,2.88,104
42204.352788,0,,,101.2,2.88,104
42204.3528,0,99,3.4,89.4,3.24,92.2
42204.352812,,98,3.8,88.4,3.62,91.1
42204.352824,0,96,3.7,86,3.54,88.7
42204.352835,0,94,4,83.6,3.83,86.4
42204.352847,0,93,3.7,82.4,3.56,85.2
42204.352858,0,95,4,84.9,3.84,87.6
42204.35287,,96,3.8,86,3.64,88.8
42204.352882,0,99,3.7,89.5,3.52,92.3
42204.352893,0,100,4,90.7,3.81,93.5
42204.352905,0,100,3.8,90.7,3.61,93.5
42204.352917,0,94,3.1,87.2,3.53,89.9
42204.352929,,94,3.1,83.5,2.98,87.2
42204.35294,0,96,3.8,86,3.64,88.8
42204.352952,0,98,3.2,86,3.54,88.7
42204.352964,0,98,3.2,88.2,3.05,91
42204.352975,0,95,3.2,84.7,3.06,87.4
42204.352987,,95,3.2,84.7,3.07,87.4
42204.352999,0,95,3.3,84.7,3.16,87.5
42204.35301,0,96,3,85.9,3.16,88.6
42204.353022,0,96,3,85.8,2.87,88.6
42204.353033,0,97,3.2,87,3.07,89.8
42204.353045,0,97,3.2,87.1,3.06,89.8
42204.353057,,97,4.3,87.3,4.11,91.1
42204.353069,0,95,3.6,85,3.63,88.8
42204.35308,0,95,3.6,84.8,3.45,88.5
42204.353092,0,97,4.2,87.1,4.02,89.9
42204.353103,,97,4.2,87.3,4.01,91
42204.353115,0,,,,,
42204.353127,,98,3.6,88.3,3.43,92.1
42204.353138,0,96,3.3,85.9,3.16,89.7
42204.35315,0,96,3.3,85.9,3.16,89.7
42204.353162,0,93,3.6,82.3,3.45,86.1
42204.353173,0,93,3.6,82.4,3.47,84.2
42204.353185,,100,3.5,90.7,3.32,92.4
42204.353197,0,100,3.4,90.6,3.23,92.4
42204.353208,0,100,3.4,90.6,3.23,93.4
42204.35322,0,102,3.1,93,2.93,95.8
42204.353231,0,102,3.1,93,2.93,95.7
42204.353243,,99,3.2,89.4,3.04,92.2
42204.353254,0,97,3.9,87.2,3.7,91.9
42204.353266,0,97,4.1,87.2,3.73,93
42204.353278,0,100,3.9,90.8,3.73,96.6
42204.35329,0,103,3.7,94.3,3.51,98.1
42204.353301,,103,3.7,94.2,3.48,98
42204.353313,0,101,3.3,91.8,3.12,94.6
42204.353324,0,105,3.3,96.5,3.13,97.3
42204.353336,0,103,3.8,94.2,3.56,94.9
42204.353348,0,101,3.7,91.9,3.49,93.6
42204.353359,0,101,3.7,91.8,3.51,93.6
42204.353371,,112,3.8,104.9,3.57,107.6
42204.353383,0,113,3.8,106,3.5,108.8
42204.353394,0,115,3.7,108.4,3.4,112.1
42204.353406,0,122,4.2,116.6,3.84,120.4
42204.353417,0,122,4.2,116.7,3.77,120.5
42204.353429,,132,3.6,128.5,3.17,132.3
42204.353441,0,131,3.3,127.3,2.88,132.1
42204.353452,0,142,3,140.1,2.63,144.9
42204.353464,0,144,2.8,142.2,2.39,148
42204.353476,0,144,2.8,142.1,2.38,149
42204.353488,,141,2.8,139,2.41,146.8
42204.353499,0,155,2.6,153.7,2.22,162.6
42204.353511,0,151,2.5,149.5,2.09,158.4
42204.353523,0,134,2.4,130.8,2.02,139.7
42204.353534,0,131,2.4,130.8,2.09,140.7
42204.353546,0,132,2.1,128.5,1.84,138.3
42204.353558,,132,2.1,128.5,1.83,139.3
42204.353569,0,124,1.9,118.9,1.7,129.8
42204.353581,0,126,2,121.3,1.79,134.2
42204.353592,0,129,1.8,121.2,1.78,135.1
42204.353604,0,122,1.7,116.4,1.5,130.3
42204.353615,,117,1.8,110.5,1.62,125.4
42204.353627,0,118,1.7,111.7,1.54,125.6
42204.353639,0,112,1.6,104.6,1.45,119.5
42204.353651,0,106,1.5,97.4,1.38,112.3
42204.353662,0,105,1.6,96.2,1.5,110.1
42204.353674,,100,1.5,90.3,1.41,105.2
42204.353686,0,101,1.7,91.5,1.61,106.4
42204.353697,0,107,1.8,98.6,1.71,114.5
42204.353709,,107,1.8,98.6,1.68,114.5
42204.353721,0,106,2.1,97.5,1.96,114.4
42204.353733,0,108,2.3,99.9,2.14,117.8
